BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.735307491231716995e+04	-1.611966666666666725e+01	1.161815748858312930e-01	-4.969233333333333391e+00	6.928203230275508046e-04	1.648439999999999905e-01	1.208589627991606157e-04	-8.970396041460196557e+01	2.323631497716628080e-01	7.784441333333333205e+03	2.323631497716628080e-01	6.007030766666665755e+01	1.814843015319248486e-03
5.735506064010458795e+04	-1.611899999999999977e+01	1.156652722032495834e-01	-4.972533333333332806e+00	6.928203230275508046e-04	1.642679999999999974e-01	1.198967148099655777e-04	-8.898042729892749492e+01	2.313305444064991667e-01	7.783959666666666635e+03	2.313305444064991667e-01	6.006607600000000247e+01	1.806751467786918463e-03
5.736091930992725247e+04	-1.817733333333333334e+01	1.227609217533165431e-01	-4.980133333333333745e+00	7.702813338860895051e-04	1.629836666666666656e-01	1.304820123831463359e-04	-8.964952457918998618e+01	2.455218435066330862e-01	7.782778333333332739e+03	2.455218435066330862e-01	6.010220466666667249e+01	1.919025097201512882e-03
5.736798158760768274e+04	-1.535099999999999909e+01	1.169969572520741519e-01	-4.964500000000000135e+00	6.928203230275508046e-04	1.656620000000000037e-01	1.222061100491024282e-04	-8.856957918483236369e+01	2.339939145041484980e-01	7.789023666666666941e+03	2.339939145041484980e-01	6.003158166666666062e+01	1.825306530063738409e-03
5.737205389629791898e+04	-1.357166666666666721e+01	1.173371846187523104e-01	-4.961733333333333107e+00	6.928203230275508046e-04	1.661460000000000159e-01	1.231683581300183137e-04	-8.938528744525153513e+01	2.346743692375046209e-01	7.786501999999999498e+03	2.346743692375046209e-01	6.005187433333333047e+01	1.831889235320640534e-03
5.737911260258786933e+04	-1.885933333333333550e+01	1.203539361653056389e-01	-4.967099999999999405e+00	7.505553499465134710e-04	1.652103333333333479e-01	1.277871494147809507e-04	-8.932002989419203232e+01	2.407078723306110557e-01	7.787990999999999076e+03	2.407078723306110557e-01	6.006784800000000502e+01	1.879251039308925224e-03
5.737997696631117287e+04	-1.717000000000000171e+01	1.205364650111151320e-01	-4.964799999999999436e+00	7.505553499465134710e-04	1.656043333333333256e-01	1.274031222362919703e-04	-8.985409106692213754e+01	2.410729300222300975e-01	7.787725666666666257e+03	2.410729300222300975e-01	6.007117500000000376e+01	1.882291463287326600e-03
5.738092886975414149e+04	-1.577999999999999936e+01	1.257718299349523117e-01	-4.962466666666666804e+00	7.702813338860895051e-04	1.660113333333333718e-01	1.358716714812587803e-04	-9.047750793634692457e+01	2.515436598699048454e-01	7.788028333333332739e+03	2.515436598699048454e-01	6.008106666666666484e+01	1.964313643052504992e-03
5.738596163879699452e+04	-1.552033333333333331e+01	1.210191908267652244e-01	-4.969033333333332969e+00	7.505553499465134710e-04	1.648733333333333440e-01	1.281726266494613987e-04	-8.632941971888159571e+01	2.420383816535302823e-01	7.788983666666666977e+03	2.420383816535302823e-01	6.004231400000000463e+01	1.888764962574381338e-03
5.738701656954747887e+04	-1.776133333333333297e+01	1.179039725096026475e-01	-4.973966666666666647e+00	7.318166133366715322e-04	1.640353333333333385e-01	1.235529576065799143e-04	-8.672935587840375149e+01	2.358079450192051008e-01	7.783772666666666737e+03	2.358079450192051008e-01	6.007199700000000320e+01	1.842347586870354001e-03
5.738804716988155997e+04	-1.819266666666666765e+01	1.179250108536632896e-01	-4.977433333333332932e+00	7.505553499465134710e-04	1.634426666666666805e-01	1.233608077506340237e-04	-8.847519426691734168e+01	2.358500217073267458e-01	7.782028999999999542e+03	2.358500217073267458e-01	6.009204966666666792e+01	1.843744717848917920e-03
5.739107167845114600e+04	-1.896999999999999886e+01	1.185674758718913285e-01	-4.982233333333333292e+00	7.505553499465134710e-04	1.626336666666666764e-01	1.241303078757695214e-04	-9.177278022829909787e+01	2.371349517437828514e-01	7.783884999999999309e+03	2.371349517437828514e-01	6.008622500000000599e+01	1.853249931782271738e-03
5.739406840844850376e+04	-1.618399999999999750e+01	1.183778663138757986e-01	-4.969666666666666899e+00	7.125852775477316053e-04	1.647706666666666764e-01	1.243230558754980985e-04	-9.055189504132044931e+01	2.367557326277512642e-01	7.784788666666667268e+03	2.367557326277512642e-01	6.005749733333332330e+01	1.849279347976239734e-03
5.739493107354779204e+04	-1.616766666666666552e+01	1.246057368475433219e-01	-4.970233333333332837e+00	7.702813338860895051e-04	1.646656666666666824e-01	1.341396453120569619e-04	-9.027825726740333323e+01	2.492114736950870324e-01	7.786831999999999425e+03	2.492114736950870324e-01	6.005398299999999523e+01	1.945963347127139089e-03
5.739612804655418586e+04	-1.875433333333333508e+01	1.205333575816470715e-01	-4.967966666666666420e+00	7.505553499465134710e-04	1.650583333333333347e-01	1.285569480381705575e-04	-9.034572200198499559e+01	2.410667151632941430e-01	7.788471333333333860e+03	2.410667151632941430e-01	6.004387866666667151e+01	1.881684488478426983e-03
